"long","lat","K","dK_dx","dK_dy"
-123.98,35.02,8.60723277589666e-07,-5.59056940384843e-06,3.34794039288201e-05
-123.94,35.02,1.41871334307e-06,-8.37346523474623e-06,4.27655033520691e-06
-123.9,35.02,1.48998918199012e-06,-5.73952139836981e-06,-2.95717905852297e-05
-123.86,35.02,9.97126005569622e-07,1.18570168179326e-05,-1.31256718140156e-05
-123.82,35.02,7.78364808669362e-07,1.03293737936213e-05,1.36384990366451e-05
-123.78,35.02,1.00567312594678e-06,2.58375341714738e-06,4.35794530187683e-07
-123.74,35.02,1.01293636811657e-06,-5.81266347557812e-06,6.0480716030663e-05
-123.7,35.02,2.02094830196096e-06,-2.36564371425352e-05,8.24281388757069e-05
-123.66,35.02,3.39475061655607e-06,-3.67799912978872e-05,-1.84154551473539e-05
-123.62,35.02,3.08782636410018e-06,-2.6304905107611e-05,-8.02758923496866e-05
-123.58,35.02,1.74989482493873e-06,9.61439443225797e-06,-1.84277737126192e-05
-123.54,35.02,1.44276526306175e-06,3.3380001440637e-05,-4.30229963436246e-06
-123.5,35.02,1.37106026915571e-06,3.02819479565178e-05,-1.15214864080892e-05
-123.46,35.02,1.17903549568755e-06,1.40898487900706e-05,-1.3328112976011e-05
-123.42,35.02,9.56900279420702e-07,5.00484284402947e-06,3.19901609435327e-05
-123.38,35.02,1.49006962847958e-06,-2.37130457175786e-06,1.75119880745972e-05
-123.34,35.02,1.78193609638953e-06,-1.45478196136777e-06,-1.53516411348148e-05
-123.3,35.02,1.52607541080929e-06,4.20931770627538e-06,-2.62165750448861e-05
-123.26,35.02,1.08913249339452e-06,6.17704356733664e-06,-2.32449756322851e-05
-123.22,35.02,7.01716232856434e-07,9.35247659552088e-06,5.66504562488089e-06
-123.18,35.02,7.96133659937782e-07,3.99386805365771e-06,1.08513441667686e-05
-123.14,35.02,9.76989396050592e-07,4.31445796193165e-06,2.51342207346009e-05
-123.1,35.02,1.39589307496061e-06,5.16084990331953e-06,-3.36788645670618e-06
-123.06,35.02,1.3397616340155e-06,9.22265674265817e-06,-2.58842598901246e-05
-123.02,35.02,9.08357302513429e-07,1.32154875574218e-05,-1.64778129666039e-05
-122.98,35.02,6.33727086403364e-07,1.21441851112669e-05,2.09787842668438e-05
-122.94,35.02,9.83373490850761e-07,2.88431815943994e-06,3.30101041024502e-06
-122.9,35.02,1.03839033102151e-06,-1.91773140722824e-06,-1.38013117858137e-05
-122.86,35.02,8.08368467924616e-07,-3.71015306885673e-06,-5.18156116875381e-06
-122.82,35.02,7.22009115112052e-07,-1.05192584968351e-06,6.24110229150198e-06
-122.78,35.02,8.26027486637085e-07,2.87139445795863e-06,-5.10013752249054e-06
-122.74,35.02,7.41025194595576e-07,4.49083515726823e-06,-1.52598658186768e-05
-122.7,35.02,4.86694097617629e-07,9.26955257571701e-07,3.63560564687932e-07
-122.66,35.02,4.92753440362428e-07,-7.21175396509957e-06,1.25265176029239e-05
-122.62,35.02,7.01528733744493e-07,-1.13315476848217e-05,2.35639203025804e-05
-122.58,35.02,1.0942607387875e-06,-8.59289910945996e-06,1.92534895088555e-05
-122.54,35.02,1.41515223060176e-06,-4.07309002623355e-06,9.49450041744066e-06
-122.5,35.02,1.57339390422577e-06,-2.54259736313502e-06,5.06113616281091e-06
-122.46,35.02,1.65774617360595e-06,-4.74874508518177e-06,-3.29477172576122e-05
-122.42,35.02,1.10861755264575e-06,-2.49181838020196e-06,-2.87913696367434e-05
-122.38,35.02,6.28761392033359e-07,6.92517536080124e-06,-1.60986950283095e-05
-122.34,35.02,3.60449808228201e-07,1.16715945356773e-05,5.558719331963e-06
-122.3,35.02,4.53095130427584e-07,-1.67018290918986e-06,1.7018488582203e-05
-122.26,35.02,7.36736606797634e-07,-1.61978815428554e-05,8.98372396109105e-06
-122.22,35.02,8.86465339482485e-07,-1.44926980869878e-05,6.28405254673696e-06
-122.18,35.02,9.91199548594767e-07,7.83967582450809e-06,4.2513283343108e-05
-122.14,35.02,1.6997542709799e-06,2.45857414339757e-05,6.76097498733204e-05
-122.1,35.02,2.82658343553524e-06,1.92159845011683e-05,-3.75808031213454e-06
-122.06,35.02,2.76394876366633e-06,1.68850562895257e-05,-4.82105622849809e-05
-122.02,35.02,1.96043939224998e-06,2.02972887212211e-05,-5.14669194955171e-05
-121.98,35.02,1.10265740065803e-06,2.3372068411062e-05,-3.3846183244258e-05
-121.94,35.02,5.38554346587064e-07,2.15315944209516e-05,2.89395285769675e-06
-121.9,35.02,5.86786894215344e-07,1.46914034781943e-05,1.38238332255985e-05
-121.86,35.02,8.17184114641985e-07,1.18599142506222e-05,9.40272368640877e-07
-121.82,35.02,8.32855320785999e-07,8.84466837506785e-06,-1.57529671907088e-05
-121.78,35.02,5.7030586760752e-07,7.33325260366023e-06,-1.11602533472616e-05
-121.74,35.02,3.8430164515316e-07,4.07499916053966e-06,-2.63052731074943e-06
-121.7,35.02,3.40459523307336e-07,2.28012576813707e-06,-2.6560122864466e-06
-121.66,35.02,2.96192651866559e-07,2.85801431835544e-06,-1.29672989795802e-06
-121.62,35.02,2.74580486900592e-07,3.29301034337843e-06,-1.29672989795802e-06
-123.98,35.06,7.67547120858859e-07,-2.75269172361378e-06,3.06965080979224e-05
-123.94,35.06,1.27915558915756e-06,-1.55120993420884e-05,6.91049417158333e-06
-123.9,35.06,1.39433049201729e-06,-1.41796157809043e-05,-1.19752523689273e-05
-123.86,35.06,1.19474295253516e-06,3.77745309979787e-06,-1.46533148383269e-05
-123.82,35.06,9.5052103856305e-07,7.844430783395e-06,5.89287866017121e-06
-123.78,35.06,1.04873568289924e-06,1.05347773341894e-05,-7.96062236253782e-06
-123.74,35.06,9.16058643523606e-07,-2.08163927302749e-06,4.2636942363706e-05
-123.7,35.06,1.62667434958537e-06,-4.00118420426273e-05,6.93045847203549e-05
-123.66,35.06,2.78175076159129e-06,-6.59878738625423e-05,-7.94036895707775e-06
-123.62,35.06,2.64941127897333e-06,-4.65722124692702e-05,-4.43565928098176e-05
-123.58,35.06,1.91013473214303e-06,-1.17240407062729e-05,5.33783329575986e-06
-123.54,35.06,1.9990986204057e-06,-1.62982067876379e-06,-7.40035311848175e-06
-123.5,35.06,1.87575940176433e-06,-7.08708739218328e-06,-2.77135855745363e-05
-123.46,35.06,1.4138663088554e-06,2.44353412971339e-06,-2.24131189220521e-05
-123.42,35.06,1.04031432682119e-06,2.43999638122304e-05,2.46140135277454e-05
-123.38,35.06,1.45054788561695e-06,1.33066200977893e-05,1.84285106849873e-05
-123.34,35.06,1.75768973036674e-06,-3.39405547683357e-06,-9.68754146717164e-06
-123.3,35.06,1.59623070591388e-06,-8.53684452958099e-06,-2.42488491838248e-05
-123.26,35.06,1.1920832195168e-06,-2.6132067751927e-06,-2.00695426041009e-05
-123.22,35.06,8.57590842781782e-07,1.29545413123337e-05,3.06437083017717e-07
-123.18,35.06,8.62698127498744e-07,5.34297887134754e-06,1.11719340750426e-05
-123.14,35.06,1.04889702874945e-06,4.1990382210146e-06,2.59806126759888e-05
-123.1,35.06,1.48190724001593e-06,1.98416264185281e-06,6.93920382632458e-07
-123.06,35.06,1.49347257972647e-06,4.07358265011284e-06,-2.1891429075361e-05
-123.02,35.06,1.12861542847046e-06,6.88268237164999e-06,-1.75491154127587e-05
-122.98,35.06,8.36130171591146e-07,4.16461634515789e-06,1.17189173150168e-05
