"time_index","n","cor","rmse","mae"
1,3509,0.855299528579084,0.302529956585222,0.183071836086058
2,3515,0.868673035277148,0.287902765822791,0.17320701224328
3,3506,0.872880904184636,0.281323268069117,0.167039327647529
4,3519,0.880627708180064,0.273005987864416,0.162711886687131
5,3516,0.885948120464061,0.268316240424871,0.163884799975573
6,3519,0.882533479885271,0.270823734720116,0.164062199429356
7,3525,0.887626232750113,0.259597551242171,0.155140924494175
8,3536,0.889339288063678,0.255962659872308,0.150981679787932
9,3541,0.892900671954257,0.253095878187412,0.149808827546202
10,3556,0.891829618223319,0.253232669911328,0.149623671287844
11,3563,0.892837246035256,0.252247299618246,0.149573684781859
12,3568,0.897130728730459,0.247957877369217,0.147890055086759
13,3566,0.896262487786768,0.248332779594228,0.147988945332257
14,3566,0.888930178745998,0.2561030363085,0.150178393444446
15,3566,0.892898916859814,0.251756024129728,0.149467861042487
16,3574,0.883720945339469,0.262314037583289,0.152319014320306
17,3574,0.888622671583767,0.255553151344716,0.14899836867204
18,3573,0.887812865639581,0.255260270596665,0.147635154277033
19,3579,0.878058725664071,0.265565991411007,0.151531104510588
20,3579,0.874692923764341,0.268160805155143,0.151435770222027
21,3579,0.880632086422551,0.260391982913608,0.146519006209747
22,3579,0.880712872824482,0.258297109046104,0.145496651551805
23,3581,0.885795165880082,0.251426711821866,0.142021053875219
24,3581,0.895840791171087,0.238632225822785,0.136728541129603
25,3581,0.887722046776723,0.245539007955264,0.136344003032627
26,3580,0.893227972604717,0.237931038112399,0.132577904248138
27,3580,0.895782716475807,0.23318216518103,0.130516783146021
28,3581,0.899537276160654,0.227510467250077,0.127682850332943
29,3580,0.894903142856546,0.231230382347826,0.127372782519058
30,3581,0.900194159489538,0.224491429075343,0.125243346169836
31,3577,0.904611632498936,0.218507255029639,0.122000003824096
32,3576,0.899794830637452,0.222984959306641,0.122228622079441
33,3576,0.901269477964712,0.221020768384336,0.121244748899462
34,3576,0.904325357381078,0.216477846986683,0.118414367127685
35,3575,0.902409825679303,0.218284802166116,0.120017255824757
36,3571,0.909104765632897,0.20994576402177,0.11903927803117
37,3571,0.915163762336098,0.203812673604901,0.117763317115374
38,3568,0.903155814704713,0.21641406058588,0.121273971362159
39,3562,0.903187507848029,0.216096419351822,0.122893010134667
40,3555,0.905630820577655,0.213573609359386,0.121690627998008
41,3554,0.909211008387931,0.209457114154334,0.121382116664098
42,3554,0.897779266967482,0.21970107946932,0.123642337756071
43,3548,0.888612373424638,0.225903429510522,0.125624505363454
44,3546,0.881539455657312,0.231899411035744,0.126207288791377
45,3544,0.874267879245614,0.236825252564237,0.126052177513519
46,3542,0.858655049287668,0.24689991946545,0.127647686688474
47,3537,0.823728623464974,0.271105281635161,0.131989673671991
48,3533,0.788880297511484,0.293450260293768,0.135290733243759
49,3528,0.782436079980441,0.295201162883794,0.134922932024908
50,3522,0.786267810675932,0.29180671980452,0.131536934232126
51,3511,0.765509419499884,0.3041936839783,0.131682434796888
52,3503,0.774195005086093,0.298145277775166,0.125932622241117
53,3496,0.784682217256068,0.288522909624903,0.121401792139053
54,3489,0.801806911883115,0.274869612622479,0.114177688954043
55,3472,0.815202032285689,0.262396967328516,0.109660219920791
56,3460,0.812477109771949,0.261389803746045,0.108387697267469
57,3449,0.804263652378029,0.265231649206811,0.107107907842499
58,3426,0.821067934497689,0.249897160258053,0.102912861070983
59,3370,0.804175749580621,0.254675395784355,0.102957482475728
60,3300,0.847093946922647,0.221270892078863,0.0942654559718534
